criterion,current_answer,required_for_stage6,evidence_for,evidence_against,blocking_gap,precheck_result,next_action
physical_ring_motion_validity,PARTIAL,YES,"T008 D3/D4/D5 measured displacements match expected ALE diagnostic displacements; Java export contains dx=[0,-Vring*t] on ring boundaries",validation is short diagnostic motion only; no physical-height or free-fall acceptance proof,physical motion must be tied to a real-Hmax candidate with documented tolerance and controls,PARTIAL,keep candidate as diagnostic motion input only
ALE_vs_WettedWall_non_double_counting,PARTIAL,YES,T013 defines ALE dx as geometry proof and WettedWall utr as wall-frame/contactline condition,existing evidence has both dx and utr but no executed non-double-counting acceptance check,wall-frame convention must be verified for any future candidate model,PARTIAL,run metadata/script audit focused on dx/utr convention before candidate task
boundary_contactline_validity,NO,YES,"exports show NavierSlip, theta=pi/2, and utr=-Vring",R3 contactline report found no clear physical WettedWall cases,contactline physical classification is not passed,FAIL,repair or classify contactline setting before any Stage6 candidate
contact_angle_slip_control_validity,PARTIAL,YES,T006 W2/W3/W4/W7/W8 extraction and postprocess pass,T006 credible static and micro-motion baselines remain UNKNOWN,controls are diagnostic and not yet physical-sensitivity acceptance evidence,PARTIAL,"classify each contact-angle/slip case as physical control, numerical control, or excluded"
connected_interface_extraction_validity,PARTIAL,YES,R2/T004 extraction excludes known raw-global contamination and T004-T006 postprocess pass,"extractor has not passed real-Hmax visual, mesh, and control-case acceptance",connected-interface extraction remains diagnostic,PARTIAL,add real-Hmax extractor feasibility checks without outputting real Hmax
ROI_extraction_validity,NO,YES_IF_ROI_USED,T010/T011 provide auditable diagnostic center-hole/inner-edge ROI,T011 says fixed-geometry ROI is a true-geometry diagnostic analogue only and current Jet1 evidence is negative,no physical ROI/domain rule for Stage6 Hmax is passed,FAIL,do not use current Jet1 ROI branch for Stage6
real_Hmax_definition_executability,NO,YES,"arrays, z0 convention, time windows, and diagnostic extractor code exist",missing mesh/time-step sensitivity and physical contactline validity; no candidate passed T013 criteria,real-Hmax definition cannot be executed as real output now,FAIL,keep all height-like values diagnostic until criteria pass
image_table_log_audit_completeness,PARTIAL,YES,T006/T008/T010/T011 include arrays/tables/logs/figures for diagnostic evidence,no Stage6-candidate-specific manifest or mesh/time-step sensitivity audit exists,audit package is not complete for a real-Hmax candidate,PARTIAL,future precheck must include candidate-specific manifest
minimum_control_case_completeness,PARTIAL,YES,"zero/micro displacement, static/contactline controls, and negative Jet1 reference exist",mesh/time-step sensitivity and physical contactline acceptance are missing,minimum controls are incomplete,PARTIAL,complete control checklist before Stage6 candidate
Jet1_requirement_status,CURRENT_JET1_BRANCH_ALLOWED=NO,"Jet1 not categorically required, but any mechanism must be explicitly defined",T013 criteria allow non-Jet1 mechanism; T011 closes current Jet1 branch,no alternative non-Jet1 Stage6 mechanism is currently validated,future candidate must define mechanism without reopening current Jet1 branch,PASS,keep current Jet1 branch closed
